Journal,Domain,,,,,,,,Statut,Publisher,Country,Type de journaux (FP=for-profit/NP=non-profit/UP=Universitary Press)
,Biology,Neurosciences,Cognitive science,Psychiatry,Neurology,Evolution,Computational Biology,Immunology,,,,
Journal of Neuroscience,1,1,1,1,1,0,1,0,NP,Society for Neuroscience,USA,Non-profit
eLife,1,1,1,1,1,1,1,1,NP,eLife Sciences Publications,UK,
Science,1,1,1,1,1,1,1,1,NP,American Association for the Advancement of Science,USA,
Plos Biology,1,1,1,1,1,1,1,1,NP,Public Library of Science (Plos),USA,
Plos One,1,1,1,1,1,1,1,1,NP,Public Library of Science (Plos),USA,
Plos Computational Biology,0,1,1,1,1,0,1,1,NP,Public Library of Science (Plos),USA,
Science Advances,1,1,1,1,1,?,?,1,NP,American Association for the Advancement of Science,USA,
eNeuro,0,1,1,1,1,0,1,0,NP,Society for Neuroscience,USA,
Proceedings of the National Academy of Sciences of the United States of America (PNAS),1,1,1,1,1,1,1,1,NP,United States National Academy of Sciences,USA,
Philosophical Transactions of the Royal Society B: Biological Sciences,1,1,1,1,1,1,1,1,NP,Royal Society,UK,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cerebral Cortex,0,1,1,1,1,0,1,0,UP,Oxford University Press,UK,University Press
Brain,0,1,1,1,1,0,1,0,UP,Oxford University Press,UK,
Brain Communications,0,1,1,1,1,0,1,0,UP,Oxford University Press,UK,
Imaging Neuroscience,0,1,1,1,1,0,0,0,UP,MIT press direct,USA,
Journal of Cognitive Neuroscience,0,1,1,1,1,0,0,0,UP,MIT press direct,USA,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Cognitive, Affective, & Behavioral Neuroscience",0,1,1,1,1,0,0,0,FP,Springer Nature on behalf of the Psychonomic Society,Allemagne,Society journal published by for-profit publishers.
European Journal of Neuroscience,0,1,1,1,1,0,0,0,FP,John Wiley & Sons & Wiley-Blackwell on behalf of the Federation of European Neuroscience Societies,USA,
Annals of Neurology,0,1,1,0,1,0,0,0,FP,John Wiley & Sons & Wiley-Blackwell on behalf of the American Neurological Association and the Child Neurology Society,USA,
Psychophysiology,0,1,1,1,1,0,1,0,FP,John Wiley & Sons & Wiley-Blackwell on behalf of the Society for Psychophysiological Research,USA,
Neurology,0,0,0,0,1,0,0,0,FP,Wolters Kluwer on behalf of the American Academy of Neurology,Netherlands,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nature,1,1,1,1,1,1,1,1,FP,Springer Nature,Allemagne,For-profit journal and publisher
Nature Communications,1,1,1,1,1,1,1,1,FP,Springer Nature,Allemagne,
Nature Neuroscience,0,1,1,1,1,0,1,0,FP,Springer Nature,Allemagne,
Scientific Reports,1,1,1,1,1,1,1,1,FP,Springer Nature,Allemagne,
Nature Ecology and Evolution,0,0,0,0,0,1,0,0,FP,Springer Nature,Allemagne,
Brain Structure and Function,0,1,1,1,1,0,0,0,FP,Springer Nature,Allemagne,
Biological Psychiatry,0,1,1,1,0,0,1,0,FP,Springer Nature,Allemagne,
Translational Psychiatry,0,1,1,1,0,0,1,0,FP,Springer Nature,Allemagne,
Molecular Psychiatry,0,1,0,1,0,0,1,0,FP,Springer Nature,Allemagne,
Scientific Reports,1,1,1,1,1,1,1,1,FP,Springer Nature,Allemagne,
Nature Ecology and Evolution,0,0,0,0,0,1,0,0,FP,Springer Nature,Allemagne,
Neuroimage,0,1,1,1,1,0,0,0,FP,Elsevier,Netherlands,
Neuroscience & Biobehavioral Reviews,0,1,1,1,1,0,0,0,FP,Elsevier,Netherlands,
Neuropsychologia,0,1,1,1,1,0,0,0,FP,Elsevier,Netherlands,
Current Opinion in Neurobiology,0,1,1,1,1,0,0,0,FP,Elsevier,Netherlands,
Current Opinion in Psychology,0,0,1,1,1,0,0,0,FP,Elsevier,Netherlands,
Current Opinion in Behavioral Sciences,0,1,1,1,1,0,0,0,FP,Elsevier,Netherlands,
Current Opinion in Immunology,0,0,0,0,0,0,0,1,FP,Elsevier,Netherlands,
Human Brain Mapping,0,1,1,1,1,0,0,0,FP,John Wiley & Sons,USA,
Current biology,1,1,1,1,1,1,1,1,FP,Cell Press,USA,
Trends in Neurosciences,0,1,1,1,1,0,0,0,FP,Cell Press,USA,
Trends in Immunology,0,0,0,0,0,0,0,1,FP,Cell Press,USA,
Current biology,1,1,1,1,1,1,1,1,FP,Cell Press,USA,
Trends in Neurosciences,0,1,1,1,1,0,0,0,FP,Cell Press,USA,
Trends in Immunology,0,0,0,0,0,0,0,1,FP,Cell Press,USA,
Neuron,0,1,1,1,1,0,1,0,FP,Cell Press,USA,
Cell,1,1,0,1,1,1,0,1,FP,Cell Press,USA,
Frontiers in Psychology,0,0,1,1,0,0,1,0,FP,Frontiers,Suisse,
Frontiers in Computational Neuroscience,0,1,1,1,1,0,1,0,FP,Frontiers,Suisse,
